relative_path,source_image_id,modelo_ia,tipo_prompt,prompt_id,pair_id,analysis_eligible
"Inclusive Prompts/DALL-E/Inclusive prompt 1/ChatGPT Image 23 de nov. de 2025, 14_08_32.png",DALLE_P1_I,DALL-E,Inclusive Prompts,P1,DALLE_P1,True
"Neutral Prompts/DALL-E/Neutral Prompt 1/ChatGPT Image 23 de nov. de 2025, 14_40_02.png",DALLE_P1_N,DALL-E,Neutral Prompts,P1,DALLE_P1,True
"Inclusive Prompts/DALL-E/Inclusive prompt 2/ChatGPT Image 23 de nov. de 2025, 14_11_37.png",DALLE_P2_I,DALL-E,Inclusive Prompts,P2,DALLE_P2,True
"Neutral Prompts/DALL-E/Neutral Prompt 2/ChatGPT Image 23 de nov. de 2025, 14_42_50.png",DALLE_P2_N,DALL-E,Neutral Prompts,P2,DALLE_P2,True
"Inclusive Prompts/DALL-E/Inclusive prompt 3/ChatGPT Image 23 de nov. de 2025, 14_15_29.png",DALLE_P3_I,DALL-E,Inclusive Prompts,P3,DALLE_P3,True
"Neutral Prompts/DALL-E/Neutral Prompt 3/ChatGPT Image 23 de nov. de 2025, 14_47_46.png",DALLE_P3_N,DALL-E,Neutral Prompts,P3,DALLE_P3,True
"Inclusive Prompts/DALL-E/Inclusive prompt 4/ChatGPT Image 23 de nov. de 2025, 14_18_19.png",DALLE_P4_I,DALL-E,Inclusive Prompts,P4,DALLE_P4,True
"Neutral Prompts/DALL-E/Neutral Prompt 4/ChatGPT Image 23 de nov. de 2025, 14_51_16.png",DALLE_P4_N,DALL-E,Neutral Prompts,P4,DALLE_P4,True
"Inclusive Prompts/DALL-E/Inclusive prompt 5/ChatGPT Image 23 de nov. de 2025, 14_21_58.png",DALLE_P5_I,DALL-E,Inclusive Prompts,P5,DALLE_P5,True
"Neutral Prompts/DALL-E/Neutral Prompt 5/ChatGPT Image 23 de nov. de 2025, 14_54_04.png",DALLE_P5_N,DALL-E,Neutral Prompts,P5,DALLE_P5,True
"Inclusive Prompts/DALL-E/Inclusive prompt 6/ChatGPT Image 23 de nov. de 2025, 14_25_22.png",DALLE_P6_I,DALL-E,Inclusive Prompts,P6,DALLE_P6,True
"Neutral Prompts/DALL-E/Neutral Prompt 6/ChatGPT Image 23 de nov. de 2025, 14_56_59.png",DALLE_P6_N,DALL-E,Neutral Prompts,P6,DALLE_P6,True
"Inclusive Prompts/DALL-E/Inclusive prompt 7/ChatGPT Image 23 de nov. de 2025, 14_29_30.png",DALLE_P7_I,DALL-E,Inclusive Prompts,P7,DALLE_P7,True
"Neutral Prompts/DALL-E/Neutral Prompt 7/ChatGPT Image 23 de nov. de 2025, 15_00_11.png",DALLE_P7_N,DALL-E,Neutral Prompts,P7,DALLE_P7,True
"Inclusive Prompts/DALL-E/Inclusive prompt 8/ChatGPT Image 23 de nov. de 2025, 14_33_12.png",DALLE_P8_I,DALL-E,Inclusive Prompts,P8,DALLE_P8,True
"Neutral Prompts/DALL-E/Neutral Prompt 8/ChatGPT Image 23 de nov. de 2025, 15_03_16.png",DALLE_P8_N,DALL-E,Neutral Prompts,P8,DALLE_P8,True
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 1/Gemini_Generated_Image_eud89neud89neud8.png,NB_P1_I,Gemini (NanoBanana),Inclusive Prompts,P1,NB_P1,True
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 1/Gemini_Generated_Image_rv1vl7rv1vl7rv1v.png,NB_P1_N,Gemini (NanoBanana),Neutral Prompts,P1,NB_P1,True
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 2/Gemini_Generated_Image_rfzhtvrfzhtvrfzh.png,NB_P2_I,Gemini (NanoBanana),Inclusive Prompts,P2,NB_P2,True
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 2/Gemini_Generated_Image_tygxrbtygxrbtygx.png,NB_P2_N,Gemini (NanoBanana),Neutral Prompts,P2,NB_P2,True
