caminho_relativo,status_ingestao,erro_ingestao,duplicate_of
"Inclusive Prompts/DALL-E/Inclusive prompt 1/ChatGPT Image 23 de nov. de 2025, 14_08_32.png",valid,,
"Inclusive Prompts/DALL-E/Inclusive prompt 2/ChatGPT Image 23 de nov. de 2025, 14_11_37.png",valid,,
"Inclusive Prompts/DALL-E/Inclusive prompt 3/ChatGPT Image 23 de nov. de 2025, 14_15_29.png",valid,,
"Inclusive Prompts/DALL-E/Inclusive prompt 4/ChatGPT Image 23 de nov. de 2025, 14_18_19.png",valid,,
"Inclusive Prompts/DALL-E/Inclusive prompt 5/ChatGPT Image 23 de nov. de 2025, 14_21_58.png",valid,,
"Inclusive Prompts/DALL-E/Inclusive prompt 6/ChatGPT Image 23 de nov. de 2025, 14_25_22.png",valid,,
"Inclusive Prompts/DALL-E/Inclusive prompt 7/ChatGPT Image 23 de nov. de 2025, 14_29_30.png",valid,,
"Inclusive Prompts/DALL-E/Inclusive prompt 8/ChatGPT Image 23 de nov. de 2025, 14_33_12.png",valid,,
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 1/Gemini_Generated_Image_eud89neud89neud8.png,valid,,
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 2/Gemini_Generated_Image_rfzhtvrfzhtvrfzh.png,valid,,
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 3/Gemini_Generated_Image_571g8c571g8c571g.png,valid,,
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 4/Gemini_Generated_Image_dcscy0dcscy0dcsc.png,valid,,
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 5/Gemini_Generated_Image_dwlq0xdwlq0xdwlq.png,valid,,
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 6/Gemini_Generated_Image_wodov4wodov4wodo.png,valid,,
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 7/Gemini_Generated_Image_cpj66jcpj66jcpj6.png,valid,,
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 8/Gemini_Generated_Image_8zn1jl8zn1jl8zn1.png,valid,,
Inclusive Prompts/Midjourney/Inclusive prompt 1/Kauandugi_A_diverse_group_of_university_students_attending_a__d7a70fb4-bb0f-4796-ad34-577a472b7502_2.png,valid,,
Inclusive Prompts/Midjourney/Inclusive prompt 2/Kauandugi_Students_of_diverse_backgrounds_studying_together_a_98a7dfd5-3d30-446b-a169-f8a2008350ca_0.png,valid,,
Inclusive Prompts/Midjourney/Inclusive prompt 3/Kauandugi_Students_playing_futsal_on_a_university_indoor_cour_9f2c7c1b-f4c2-4cd6-ad9d-d908732c337b_3.png,valid,,
Inclusive Prompts/Midjourney/Inclusive prompt 4/Kauandugi_A_diverse_group_of_students_walking_and_talking_on__4d39e928-913c-4fd6-b1c7-941b936f7d0d_2.png,valid,,
Inclusive Prompts/Midjourney/Inclusive prompt 5/Kauandugi_A_multicultural_gender-diverse_group_of_students_co_b5ef033d-8876-418b-b4ad-eaac59167e5b_0.png,valid,,
Inclusive Prompts/Midjourney/Inclusive prompt 6/Kauandugi_Students_participating_in_a_university_cultural_fai_e6f3e656-557f-4125-8e90-8be1441c742e_2.png,valid,,
Inclusive Prompts/Midjourney/Inclusive prompt 7/Kauandugi_A_group_of_students_relaxing_and_chatting_in_a_camp_02fe41de-7f94-489d-b6b2-b3abeac4d486_1.png,valid,,
Inclusive Prompts/Midjourney/Inclusive prompt 8/Kauandugi_A_student_approaching_an_information_desk_at_a_univ_cec690e6-2260-41e4-885f-ec4dee96baf9_1.png,valid,,
Inclusive Prompts/Whisk/Inclusive prompt 1/Whisk_a428c9bb73afd58977149195ee847846dr.jpeg,valid,,
Inclusive Prompts/Whisk/Inclusive prompt 2/Whisk_c219bdc14ff1d3584d54b2a813f5edc4dr.jpeg,valid,,
Inclusive Prompts/Whisk/Inclusive prompt 3/Whisk_78a9375e3092fdfa1bd45b90c2784563dr (1).jpeg,valid,,
Inclusive Prompts/Whisk/Inclusive prompt 4/Whisk_69801182dc7f8dd9bd84e373e928732fdr.jpeg,valid,,
Inclusive Prompts/Whisk/Inclusive prompt 5/Whisk_21095ceeae4731580da4839db92b9b93dr (1).jpeg,valid,,
Inclusive Prompts/Whisk/Inclusive prompt 6/Whisk_95319f7d65d0ce89b204221fe6b09e5cdr.jpeg,valid,,
Inclusive Prompts/Whisk/Inclusive prompt 7/Whisk_165d8547e6ba7c2b5004bce4ef276793dr.jpeg,valid,,
Inclusive Prompts/Whisk/Inclusive prompt 8/Whisk_4c06cf48cc1c1099fbb4e8ea146a2748dr.jpeg,valid,,
"Neutral Prompts/DALL-E/Neutral Prompt 1/ChatGPT Image 23 de nov. de 2025, 14_40_02.png",valid,,
"Neutral Prompts/DALL-E/Neutral Prompt 2/ChatGPT Image 23 de nov. de 2025, 14_42_50.png",valid,,
"Neutral Prompts/DALL-E/Neutral Prompt 3/ChatGPT Image 23 de nov. de 2025, 14_47_46.png",valid,,
"Neutral Prompts/DALL-E/Neutral Prompt 4/ChatGPT Image 23 de nov. de 2025, 14_51_16.png",valid,,
"Neutral Prompts/DALL-E/Neutral Prompt 5/ChatGPT Image 23 de nov. de 2025, 14_54_04.png",valid,,
